,months_as_customer,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,injury_claim,property_claim,vehicle_claim,fraud_reported
10,235,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,other-relative,38400,0,Single Vehicle Collision,Front Collision,Total Loss,Police,22,1,YES,2,2,NO,7910,15820,63280,N
11,447,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,other-relative,0,-51000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,21,3,YES,1,2,YES,17680,17680,79560,N
12,60,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,wife,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,9,1,YES,1,0,NO,4710,9420,42390,N
13,121,100/300,1000,936.61,0,FEMALE,MD,armed-forces,wife,52800,-32800,Parked Car,Rear Collision,Minor Damage,None,5,1,NO,1,1,NO,1120,1120,5040,N
14,180,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,12,1,NO,0,2,YES,4200,8400,33600,Y
15,473,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,4,YES,0,0,NO,10520,10520,42080,Y
16,70,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,0,3,NO,1,2,YES,5790,5790,40530,N
17,140,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,9,1,NO,0,2,YES,14160,7080,56640,N
18,160,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,19,1,YES,1,0,NO,6630,13260,53040,N
19,196,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,8,3,NO,2,0,NO,6040,6040,48320,N
20,460,250/500,1000,1187.96,4000000,MALE,JD,other-service,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,20,3,NO,1,0,NO,0,5240,41920,N
21,217,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,NO,1,2,NO,0,4730,33110,N
22,370,100/300,2000,972.18,0,MALE,High School,prof-specialty,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,NO,0,0,YES,17880,5960,47680,Y
23,413,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,15,1,NO,2,2,NO,8180,16360,73620,Y
24,237,100/300,1000,883.31,0,MALE,College,craft-repair,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,6,1,NO,1,3,NO,7080,14160,56640,N
25,8,100/300,2000,1266.92,0,MALE,Masters,sales,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,3,NO,1,3,YES,16500,11000,44000,Y
26,257,100/300,2000,1322.1,0,MALE,High School,prof-specialty,own-child,0,-29200,Parked Car,Rear Collision,Minor Damage,Police,4,1,YES,1,3,YES,1640,820,6560,N
27,202,100/300,500,848.07,3000000,MALE,JD,exec-managerial,not-in-family,31000,-30200,Vehicle Theft,Rear Collision,Minor Damage,None,5,1,YES,2,1,NO,1040,520,4160,Y
28,224,100/300,2000,1291.7,0,FEMALE,JD,sales,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,21,1,NO,1,0,YES,7760,15520,46560,N
29,241,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,5,1,NO,2,2,NO,14100,14100,63450,N
30,64,250/500,1000,954.16,0,MALE,Masters,prof-specialty,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,22,4,NO,0,0,NO,12600,12600,50400,N
31,166,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,10,3,NO,2,2,NO,7460,7460,52220,Y
32,155,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,16,3,YES,2,3,NO,3310,3310,23170,N
33,114,100/300,1000,1558.29,0,MALE,High School,farming-fishing,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,1,3,NO,1,2,NO,14020,14020,49070,N
34,149,500/1000,500,1415.68,0,MALE,PhD,prof-specialty,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,17,1,YES,0,1,YES,10800,5400,48600,N
35,147,100/300,1000,1334.15,6000000,MALE,High School,craft-repair,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,15,1,YES,2,0,YES,10620,5310,37170,Y
36,62,100/300,1000,988.45,0,FEMALE,Masters,protective-serv,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,3,1,NO,1,1,YES,6020,6020,48160,Y
37,289,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,unmarried,0,0,Parked Car,Rear Collision,Minor Damage,None,16,1,NO,1,1,YES,1230,820,3280,N
38,431,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,4,3,NO,2,0,NO,12460,6230,43610,N
39,199,250/500,500,1262.08,0,MALE,JD,tech-support,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,4,1,NO,0,3,NO,10940,10940,38290,Y
40,79,100/300,500,1451.62,0,MALE,Associate,tech-support,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,19,1,NO,2,2,NO,8000,4000,28000,N
41,116,250/500,500,1737.66,0,MALE,Associate,transport-moving,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,1,1,NO,1,1,NO,16180,16180,64720,Y
42,37,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,17,3,YES,1,0,NO,5740,5740,40180,N
43,106,250/500,500,538.17,0,FEMALE,PhD,transport-moving,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,23,1,NO,2,2,NO,5680,5680,39760,N
44,269,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,14,1,YES,0,2,NO,11280,11280,33840,N
45,265,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,NO,2,3,NO,6890,0,48230,N
46,163,100/300,500,1240.47,0,FEMALE,Associate,other-service,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,11,3,YES,1,1,NO,0,14020,63090,N
47,355,500/1000,2000,1273.7,4000000,MALE,College,other-service,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,19,3,NO,2,1,NO,6280,6280,50240,Y
48,175,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,other-relative,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,5,1,NO,2,0,YES,810,810,5670,N
49,192,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,19,1,NO,0,0,NO,15320,7660,53620,N
50,430,250/500,2000,1326.62,7000000,MALE,MD,other-service,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,NO,0,3,YES,16360,8180,57260,N
51,91,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,4,1,NO,1,2,NO,1320,660,5280,N
52,217,100/300,1000,1530.52,0,MALE,College,armed-forces,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,8,1,NO,2,1,YES,430,430,3440,N
53,223,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,7,3,YES,1,0,NO,12820,12820,44870,N
54,195,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,not-in-family,47600,-39600,Parked Car,Rear Collision,Minor Damage,Police,5,1,NO,0,1,YES,480,480,1680,N
55,22,100/300,1000,1276.57,0,MALE,PhD,craft-repair,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,YES,1,2,NO,15780,7890,55230,N
56,439,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,12,3,NO,2,3,NO,0,6270,50160,N
57,94,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,own-child,0,0,Parked Car,Rear Collision,Minor Damage,None,19,1,NO,1,3,NO,300,300,1800,N
58,11,250/500,2000,1470.06,0,MALE,PhD,other-service,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,YES,0,1,NO,7310,7310,51170,N
59,151,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,12,3,NO,1,1,NO,11440,5720,45760,N
60,154,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,15,3,YES,2,1,NO,15440,0,54040,Y
61,245,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,NO,0,3,NO,7380,3690,33210,N
62,119,500/1000,1000,993.51,0,MALE,High School,armed-forces,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,12,1,NO,0,3,YES,5630,11260,39410,N
63,215,500/1000,500,1848.81,0,MALE,JD,transport-moving,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,20,3,YES,2,2,YES,11420,5710,51390,Y
64,295,250/500,2000,1641.73,5000000,MALE,PhD,sales,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,16,3,NO,0,0,NO,6570,6570,45990,Y
65,254,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,6,3,YES,2,2,NO,13720,6860,61740,Y
66,107,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,YES,0,1,NO,13800,13800,62100,Y
67,478,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,17,3,NO,1,1,NO,0,3770,30160,N
68,128,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,8,1,NO,0,3,NO,12460,6230,49840,N
69,338,500/1000,1000,1279.08,0,MALE,MD,other-service,own-child,0,-51500,Parked Car,Rear Collision,Minor Damage,None,13,1,NO,0,1,NO,860,860,2580,N
70,271,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,2,NO,2,3,NO,12420,6210,49680,Y
71,222,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,NO,0,2,NO,6810,6810,47670,Y
72,199,250/500,1000,895.83,0,FEMALE,Associate,sales,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,10,1,NO,1,2,NO,3010,0,27090,N
73,215,100/300,500,1632.93,0,FEMALE,College,transport-moving,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,7,3,NO,2,0,YES,9520,4760,42840,N
74,192,100/300,1000,1405.99,0,FEMALE,Associate,sales,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,18,3,YES,1,0,YES,9540,4770,28620,N
75,120,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,2,0,NO,11380,5690,34140,N
76,270,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,18,3,NO,1,1,YES,14900,7450,67050,N
77,319,250/500,500,1307.11,0,MALE,College,transport-moving,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,22,3,NO,0,2,NO,10860,10860,38010,N
78,194,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,wife,0,-45000,Vehicle Theft,Rear Collision,Minor Damage,None,15,1,YES,2,2,YES,1240,1240,5580,N
79,227,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,16,1,NO,1,2,NO,14440,7220,50540,Y
80,137,250/500,2000,1340.43,0,MALE,High School,exec-managerial,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,6,3,NO,1,2,NO,10160,10160,30480,N
81,244,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,10,1,NO,2,1,NO,660,1320,4620,N
82,78,250/500,1000,1234.2,6000000,MALE,Masters,other-service,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,3,1,YES,2,2,NO,750,1500,5250,N
83,200,250/500,2000,1318.06,0,MALE,High School,exec-managerial,wife,57300,-80600,Vehicle Theft,Rear Collision,Trivial Damage,None,13,1,NO,0,3,YES,1180,1180,4130,N
84,284,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,16,2,NO,2,3,NO,5540,11080,44320,Y
85,275,100/300,2000,1514.72,0,MALE,High School,transport-moving,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,13,3,YES,0,1,NO,5830,11660,40810,N
86,153,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,9,3,NO,2,1,NO,11400,11400,45600,N
87,134,500/1000,500,1612.43,0,FEMALE,MD,other-service,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,2,1,NO,2,1,YES,11680,11680,40880,N
88,31,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,not-in-family,0,-78600,Parked Car,Rear Collision,Trivial Damage,None,9,1,NO,0,1,YES,940,470,3290,N
89,41,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,12,3,YES,2,0,NO,0,5640,39480,Y
90,127,250/500,2000,1326.44,5000000,FEMALE,High School,sales,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,12,2,YES,1,1,NO,10300,10300,46350,N
91,61,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,14,1,NO,0,3,NO,8940,17880,71520,Y
92,207,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,own-child,55200,0,Parked Car,Rear Collision,Trivial Damage,None,9,1,NO,0,1,NO,590,590,4720,N
93,219,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,NO,1,1,NO,5890,11780,53010,N
94,271,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,0,NO,17040,8520,68160,N
95,80,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,husband,67700,-58400,Vehicle Theft,Rear Collision,Minor Damage,None,5,1,NO,2,0,YES,1260,630,5040,N
96,325,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,11,1,YES,0,3,NO,6630,6630,59670,Y
97,29,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,4,4,YES,1,2,YES,7210,7210,50470,Y
98,295,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,wife,0,0,Parked Car,Rear Collision,Trivial Damage,None,6,1,NO,1,2,YES,900,900,3600,N
99,239,100/300,1000,969.5,0,MALE,College,exec-managerial,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,10,1,NO,0,0,NO,700,700,4200,N
100,269,100/300,500,1463.82,0,FEMALE,College,protective-serv,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,23,1,YES,0,0,NO,15860,15860,47580,N
101,80,100/300,1000,1474.17,0,FEMALE,College,tech-support,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,1,0,YES,10560,5280,36960,N
102,279,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,NO,2,3,NO,0,3600,25200,N
103,165,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,other-relative,35300,-58100,Parked Car,Rear Collision,Minor Damage,Police,3,1,NO,1,1,NO,330,330,2310,N
104,350,500/1000,500,1495.1,0,MALE,College,other-service,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,15,3,NO,0,0,NO,15580,7790,70110,N
105,295,100/300,500,1141.62,0,MALE,College,prof-specialty,husband,34300,-24300,Vehicle Theft,Rear Collision,Minor Damage,None,4,1,YES,1,3,YES,480,480,3360,N
106,464,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,6,3,NO,0,2,YES,6650,19950,53200,Y
107,118,500/1000,2000,1207.36,0,FEMALE,High School,handlers-cleaners,own-child,0,-57000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,22,2,NO,1,0,NO,7420,14840,51940,N
108,298,500/1000,2000,1338.5,0,FEMALE,PhD,machine-op-inspct,other-relative,28800,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,1,1,NO,0,0,NO,10860,10860,48870,Y
109,87,500/1000,1000,1074.07,0,FEMALE,Masters,sales,husband,0,-47500,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,16,3,NO,0,3,YES,5540,11080,44320,Y
110,261,250/500,500,1337.56,0,FEMALE,College,prof-specialty,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,18,1,NO,1,2,YES,7470,14940,52290,N
111,453,100/300,500,1298.91,6000000,MALE,PhD,craft-repair,unmarried,52600,-38800,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,YES,0,0,NO,14000,7000,49000,Y
112,210,500/1000,500,1222.75,0,MALE,High School,exec-managerial,other-relative,0,-41000,Multi-vehicle Collision,Rear Collision,Total Loss,Other,12,3,NO,2,0,NO,14740,14740,51590,N
113,168,100/300,1000,1059.52,0,MALE,MD,protective-serv,own-child,0,-40600,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,2,NO,1,1,NO,14430,9620,33670,N
114,390,250/500,2000,1124.38,0,MALE,Associate,armed-forces,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,9,1,YES,1,1,YES,1180,1180,4720,N
115,258,100/300,1000,1110.37,10000000,MALE,MD,machine-op-inspct,other-relative,34400,-56800,Multi-vehicle Collision,Side Collision,Total Loss,Other,14,3,NO,0,1,NO,4770,9540,33390,Y
116,107,500/1000,2000,1374.22,0,FEMALE,PhD,machine-op-inspct,other-relative,62000,-63100,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,NO,0,3,NO,9320,9320,32620,N
117,225,500/1000,2000,1103.58,0,MALE,High School,exec-managerial,unmarried,41200,-36200,Multi-vehicle Collision,Side Collision,Major Damage,Police,20,3,NO,2,2,NO,6400,12800,51200,Y
118,164,250/500,2000,1269.76,0,FEMALE,PhD,transport-moving,not-in-family,44300,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,4,1,NO,1,3,YES,18000,9000,63000,N
119,245,250/500,500,964.79,8000000,FEMALE,Associate,adm-clerical,husband,58000,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,7,3,NO,0,1,NO,13240,6620,52960,N
120,255,500/1000,2000,1167.3,4000000,MALE,High School,priv-house-serv,other-relative,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,22,1,NO,2,0,NO,13860,13860,41580,N
121,206,500/1000,500,1625.45,4000000,FEMALE,MD,other-service,other-relative,0,-53700,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,11,1,NO,2,1,NO,12760,12760,51040,Y
122,203,250/500,500,1394.43,0,FEMALE,Masters,other-service,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,7,1,NO,0,1,YES,0,6160,49280,Y
123,22,250/500,2000,1053.24,0,FEMALE,College,prof-specialty,other-relative,51100,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,0,4,YES,1,0,NO,8570,17140,51420,N
124,211,100/300,500,1040.75,0,FEMALE,JD,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,YES,1,1,NO,7000,7000,28000,N
125,206,250/500,1000,1302.4,6000000,MALE,JD,craft-repair,unmarried,47200,-69700,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,12,3,NO,2,3,YES,3300,9900,23100,N
126,166,100/300,2000,1588.55,0,MALE,MD,protective-serv,unmarried,59600,-32100,Single Vehicle Collision,Side Collision,Total Loss,Other,8,1,NO,0,0,NO,5760,5760,28800,N
127,165,500/1000,500,1399.26,0,FEMALE,High School,tech-support,own-child,70500,0,Parked Car,Rear Collision,Minor Damage,Police,9,1,NO,2,0,NO,330,660,2970,N
128,274,100/300,2000,1352.31,0,MALE,College,farming-fishing,wife,40700,-47300,Single Vehicle Collision,Front Collision,Major Damage,Fire,22,1,YES,0,3,YES,10640,10640,42560,Y
129,81,250/500,1000,1139.0,6000000,FEMALE,Masters,sales,husband,42400,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,0,3,NO,1,2,NO,4970,4970,34790,Y
130,280,250/500,1000,1397.67,0,MALE,JD,machine-op-inspct,wife,57900,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,0,3,YES,1,2,NO,14120,14120,56480,N
131,194,250/500,500,823.17,0,MALE,Masters,adm-clerical,own-child,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Other,3,3,NO,2,2,NO,6150,12300,43050,N
132,112,100/300,500,965.13,0,FEMALE,Masters,tech-support,unmarried,60000,-54800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,21,3,NO,0,1,NO,8500,8500,34000,N
133,24,500/1000,1000,1922.84,0,FEMALE,High School,machine-op-inspct,wife,0,-45200,Single Vehicle Collision,Side Collision,Total Loss,Police,0,1,NO,2,1,NO,4680,9360,32760,N
134,93,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,NO,1,1,NO,17360,8680,52080,N
135,171,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,NO,13840,6920,48440,Y
136,200,100/300,1000,1439.34,0,FEMALE,High School,sales,other-relative,45300,-20400,Vehicle Theft,Rear Collision,Minor Damage,Police,9,1,NO,0,0,NO,410,410,2870,N
137,120,250/500,1000,1281.27,0,FEMALE,PhD,tech-support,not-in-family,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,NO,0,3,NO,6550,6550,52400,N
138,325,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,NO,1,2,YES,13840,6920,55360,N
139,124,250/500,1000,1198.15,0,FEMALE,MD,other-service,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,12260,12260,49040,N
140,211,100/300,2000,1221.22,0,MALE,Masters,machine-op-inspct,other-relative,76000,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,0,1,NO,9460,4730,37840,N
141,287,500/1000,2000,968.74,0,MALE,Masters,transport-moving,wife,0,-49000,Vehicle Theft,Rear Collision,Trivial Damage,None,9,1,NO,2,3,NO,470,940,3760,N
142,122,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,own-child,58600,-28700,Parked Car,Rear Collision,Minor Damage,None,5,1,NO,2,1,YES,1890,1260,5040,N
